#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
安慰		<span class="tone1">ān</span> <span class="tone4">wèi</span>	<ol><li>to comfort</li><li>to console</li></ol>	个|個(<span class="tone4">gè</span>)		
岸		<span class="tone4">àn</span>	<ol><li>bank; shore; beach; coast</li></ol>	个|個(<span class="tone4">gè</span>)		<span class="nobr">按</span> <span class="nobr">暗</span>
岸上		<span class="tone4">àn</span> <span class="tone4">shàng</span>	<ol><li>ashore</li><li>on the riverbank</li></ol>			
按摩		<span class="tone4">àn</span> <span class="tone2">mó</span>	<ol><li>massage</li><li>to massage</li></ol>			
拔		<span class="tone2">bá</span>	<ol><li>to pull up</li><li>to pull out</li><li>to draw out by suction</li><li>to select</li><li>to pick</li><li>to stand out (above level)</li><li>to surpass</li><li>to seize</li></ol>			
白酒		<span class="tone2">bái</span> <span class="tone3">jiǔ</span>	<ol><li>baijiu, a spirit usually distilled from sorghum</li><li>(Tw) white wine (abbr. for 白葡萄酒)</li></ol>			
拜访	拜訪	<span class="tone4">bài</span> <span class="tone3">fǎng</span>	<ol><li>to pay a visit; to call on</li></ol>			
版		<span class="tone3">bǎn</span>	<ol><li>a register</li><li>block of printing</li><li>edition</li><li>version</li><li>page</li></ol>			<span class="nobr">板</span>
扮演		<span class="tone4">bàn</span> <span class="tone3">yǎn</span>	<ol><li>to play the role of</li><li>to act</li></ol>			
棒		<span class="tone4">bàng</span>	<ol><li>stick</li><li>club</li><li>cudgel</li><li>smart</li><li>capable</li><li>strong</li><li>wonderful</li><li>classifier for legs of a relay race</li></ol>			
包围	包圍	<span class="tone1">bāo</span> <span class="tone2">wéi</span>	<ol><li>to surround</li><li>to encircle</li><li>to hem in</li></ol>			
包装	包裝	<span class="tone1">bāo</span> <span class="tone1">zhuāng</span>	<ol><li>to pack</li><li>to package</li><li>to wrap</li><li>packaging</li></ol>			
保卫	保衛	<span class="tone3">bǎo</span> <span class="tone4">wèi</span>	<ol><li>to defend</li><li>to safeguard</li></ol>			
保养	保養	<span class="tone3">bǎo</span> <span class="tone3">yǎng</span>	<ol><li>to take good care of (or conserve) one's health</li><li>to keep in good repair</li><li>to maintain</li><li>maintenance</li></ol>			
报答	報答	<span class="tone4">bào</span> <span class="tone2">dá</span>	<ol><li>to repay</li><li>to requite</li></ol>			
报警	報警	<span class="tone4">bào</span> <span class="tone3">jǐng</span>	<ol><li>to sound an alarm</li><li>to report sth to the police</li></ol>			
抱怨		<span class="tone4">bào</span> <span class="tone4">yuàn</span>	<ol><li>to complain</li><li>to grumble</li><li>to harbor a complaint</li><li>to feel dissatisfied</li></ol>			
背包		<span class="tone1">bēi</span> <span class="tone1">bāo</span>	<ol><li>knapsack</li><li>rucksack</li><li>infantry pack</li><li>field pack</li><li>blanket roll</li></ol>	个|個(<span class="tone4">gè</span>)		
悲剧	悲劇	<span class="tone1">bēi</span> <span class="tone4">jù</span>	<ol><li>tragedy</li></ol>	出|齣(<span class="tone1">chū</span>)		
悲伤	悲傷	<span class="tone1">bēi</span> <span class="tone1">shāng</span>	<ol><li>sad; sorrowful</li></ol>			
