#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
阿姨		<span class="tone1">ā</span> <span class="tone2">yí</span>	<ol><li>maternal aunt</li><li>step-mother</li><li>childcare worker</li><li>nursemaid</li><li>woman of similar age to one's parents (term of address used by child)</li></ol>	个|個(<span class="tone4">gè</span>)		
矮		<span class="tone3">ǎi</span>	<ol><li>low</li><li>short (in length)</li></ol>			
矮小		<span class="tone3">ǎi</span> <span class="tone3">xiǎo</span>	<ol><li>short and small</li><li>low and small</li><li>undersized</li></ol>			
爱国	愛國	<span class="tone4">ài</span> <span class="tone2">guó</span>	<ol><li>to love one's country</li><li>patriotic</li></ol>			
爱护	愛護	<span class="tone4">ài</span> <span class="tone4">hù</span>	<ol><li>to cherish</li><li>to treasure</li><li>to take care of</li><li>to love and protect</li></ol>			
安		<span class="tone1">ān</span>	<ol><li>(bound form) calm; peaceful</li><li>to calm; to set at ease</li><li>safe; secure; in good health</li><li>content; satisfied (as in 安於｜安于)</li><li>to place (sb) in a suitable position (job)</li><li>to install; to fix; to fit</li><li>to bring (a charge against sb)</li><li>to harbor (certain intentions)</li><li>ampere (abbr. for 安培)</li></ol>			
安		<span class="tone1">Ān</span>	<ol><li>surname An</li></ol>			
安置		<span class="tone1">ān</span> <span class="tone4">zhì</span>	<ol><li>to find a place for</li><li>to help settle down</li><li>to arrange for</li><li>to get into bed</li><li>placement</li></ol>			
按时	按時	<span class="tone4">àn</span> <span class="tone2">shí</span>	<ol><li>on time</li><li>before deadline</li><li>on schedule</li></ol>			
暗		<span class="tone4">àn</span>	<ol><li>dark</li><li>to turn dark</li><li>secret; hidden</li><li>(literary) confused; ignorant</li></ol>			<span class="nobr">按</span>
暗	闇	<span class="tone4">àn</span>	<ol><li>(literary) to close (a door)</li><li>to eclipse</li><li>confused; ignorant (variant of 暗)</li><li>dark (variant of 暗)</li></ol>			<span class="nobr">按</span>
暗示		<span class="tone4">àn</span> <span class="tone4">shì</span>	<ol><li>to hint; to suggest</li><li>hint; suggestion</li></ol>			
巴士		<span class="tone1">bā</span> <span class="tone4">shì</span>	<ol><li>bus (loanword)</li><li>motor coach</li></ol>			
百货	百貨	<span class="tone3">bǎi</span> <span class="tone4">huò</span>	<ol><li>general merchandise</li></ol>			
摆	擺	<span class="tone3">bǎi</span>	<ol><li>to arrange</li><li>to exhibit</li><li>to move to and fro</li><li>a pendulum</li></ol>			<span class="nobr">百</span>
摆动	擺動	<span class="tone3">bǎi</span> <span class="tone4">dòng</span>	<ol><li>to sway</li><li>to swing</li><li>to move back and forth</li><li>to oscillate</li></ol>			
