#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
挨着	挨著	<span class="tone1">āi</span> <span class="tone5">zhe</span>	<ol><li>near</li></ol>			
挨		<span class="tone2">ái</span>	<ol><li>to suffer; to endure</li><li>to pull through (hard times)</li><li>to delay; to stall; to play for time; to dawdle</li></ol>			
挨		<span class="tone1">āi</span>	<ol><li>in order; in sequence</li><li>close to; adjacent to</li></ol>			
挨打		<span class="tone2">ái</span> <span class="tone3">dǎ</span>	<ol><li>to take a beating</li><li>to get thrashed</li><li>to come under attack</li></ol>			
安检	安檢	<span class="tone1">ān</span> <span class="tone3">jiǎn</span>	<ol><li>security check (abbr. for 安全檢查｜安全检查)</li><li>to do a security check</li></ol>			
罢工	罷工	<span class="tone4">bà</span> <span class="tone1">gōng</span>	<ol><li>a strike</li><li>to go on strike</li></ol>			
罢了	罷了	<span class="tone4">bà</span> <span class="tone5">le</span>	<ol><li>a modal particle indicating (that's all, only, nothing much)</li></ol>			
罢了	罷了	<span class="tone4">bà</span> <span class="tone3">liǎo</span>	<ol><li>a modal particle indicating (don't mind it, ok)</li></ol>			
白领	白領	<span class="tone2">bái</span> <span class="tone3">lǐng</span>	<ol><li>white-collar</li><li>white-collar worker</li></ol>			
百分点	百分點	<span class="tone3">bǎi</span> <span class="tone1">fēn</span> <span class="tone3">diǎn</span>	<ol><li>percentage point</li></ol>			
办公	辦公	<span class="tone4">bàn</span> <span class="tone1">gōng</span>	<ol><li>to handle official business</li><li>to work (esp. in an office)</li></ol>			
办事处	辦事處	<span class="tone4">bàn</span> <span class="tone4">shì</span> <span class="tone4">chù</span>	<ol><li>office</li><li>agency</li></ol>			
办学	辦學	<span class="tone4">bàn</span> <span class="tone2">xué</span>	<ol><li>to run a school</li></ol>			
半决赛	半決賽	<span class="tone4">bàn</span> <span class="tone2">jué</span> <span class="tone4">sài</span>	<ol><li>semifinals</li></ol>			
傍晚		<span class="tone4">bàng</span> <span class="tone3">wǎn</span>	<ol><li>in the evening</li><li>when night falls</li><li>towards evening</li><li>at night fall</li><li>at dusk</li></ol>			
保健		<span class="tone3">bǎo</span> <span class="tone4">jiàn</span>	<ol><li>health protection</li><li>health care</li><li>to maintain in good health</li></ol>			
报刊	報刊	<span class="tone4">bào</span> <span class="tone1">kān</span>	<ol><li>newspapers and periodicals</li><li>the press</li></ol>			
报考	報考	<span class="tone4">bào</span> <span class="tone3">kǎo</span>	<ol><li>to enter oneself for an examination</li></ol>			
抱歉		<span class="tone4">bào</span> <span class="tone4">qiàn</span>	<ol><li>to be sorry</li><li>to feel apologetic</li><li>sorry!</li></ol>			
暴风雨	暴風雨	<span class="tone4">bào</span> <span class="tone1">fēng</span> <span class="tone3">yǔ</span>	<ol><li>rainstorm</li><li>storm</li><li>tempest</li></ol>			
暴力		<span class="tone4">bào</span> <span class="tone4">lì</span>	<ol><li>violence</li><li>force</li><li>violent</li></ol>			
暴露		<span class="tone4">bào</span> <span class="tone4">lù</span>	<ol><li>to expose</li><li>to reveal</li><li>to lay bare</li><li>also pr. [pu4 lu4]</li></ol>			
暴雨		<span class="tone4">bào</span> <span class="tone3">yǔ</span>	<ol><li>torrential rain</li><li>rainstorm</li></ol>	场|場(<span class="tone2">cháng</span>), 阵|陣(<span class="tone4">zhèn</span>)		
爆		<span class="tone4">bào</span>	<ol><li>to explode or burst</li><li>to quick fry or quick boil</li></ol>			<span class="nobr">报</span> <span class="nobr">抱</span>
爆发	爆發	<span class="tone4">bào</span> <span class="tone1">fā</span>	<ol><li>to break out</li><li>to erupt</li><li>to explode</li><li>to burst out</li></ol>			
爆炸		<span class="tone4">bào</span> <span class="tone4">zhà</span>	<ol><li>explosion</li><li>to explode</li><li>to blow up</li><li>to detonate</li></ol>			
悲惨	悲慘	<span class="tone1">bēi</span> <span class="tone3">cǎn</span>	<ol><li>miserable</li><li>tragic</li></ol>			
背心		<span class="tone4">bèi</span> <span class="tone1">xīn</span>	<ol><li>sleeveless garment (vest, waistcoat, singlet, tank top etc)</li></ol>	件(<span class="tone4">jiàn</span>)		
背着	背著	<span class="tone4">bèi</span> <span class="tone5">zhe</span>	<ol><li>turning one's back to (sth or sb)</li><li>keeping sth secret from (sb)</li><li>keeping (one's hands) behind one's back</li></ol>			
背着	背著	<span class="tone1">bēi</span> <span class="tone5">zhe</span>	<ol><li>carrying on one's back</li></ol>			
被告		<span class="tone4">bèi</span> <span class="tone4">gào</span>	<ol><li>defendant</li></ol>			
奔跑		<span class="tone1">bēn</span> <span class="tone3">pǎo</span>	<ol><li>to run</li></ol>			
本地		<span class="tone3">běn</span> <span class="tone4">dì</span>	<ol><li>local</li><li>this locality</li></ol>			
本期		<span class="tone3">běn</span> <span class="tone1">qī</span>	<ol><li>the current period</li><li>this term (usually in finance)</li></ol>			
本身		<span class="tone3">běn</span> <span class="tone1">shēn</span>	<ol><li>itself</li><li>in itself</li><li>per se</li></ol>			
本土		<span class="tone3">běn</span> <span class="tone3">tǔ</span>	<ol><li>one's native country</li><li>native</li><li>local</li><li>metropolitan territory</li></ol>			
本质	本質	<span class="tone3">běn</span> <span class="tone4">zhì</span>	<ol><li>essence</li><li>nature</li><li>innate character</li><li>intrinsic quality</li></ol>			
逼	偪	<span class="tone1">bī</span>	<ol><li>to compel</li><li>to pressure</li></ol>			<span class="nobr">比</span>
逼		<span class="tone1">bī</span>	<ol><li>to force (sb to do sth)</li><li>to compel</li><li>to press for</li><li>to extort</li><li>to press on towards</li><li>to press up to</li><li>to close in on</li><li>euphemistic variant of 屄</li></ol>			<span class="nobr">比</span>
笔试	筆試	<span class="tone3">bǐ</span> <span class="tone4">shì</span>	<ol><li>written examination</li><li>paper test (for an applicant)</li></ol>			
必将	必將	<span class="tone4">bì</span> <span class="tone1">jiāng</span>	<ol><li>inevitably</li></ol>			
必修		<span class="tone4">bì</span> <span class="tone1">xiū</span>	<ol><li>(of an academic course) required</li><li>compulsory</li></ol>			
闭	閉	<span class="tone4">bì</span>	<ol><li>to close</li><li>to stop up</li><li>to shut</li><li>to obstruct</li></ol>			<span class="nobr">必</span> <span class="nobr">避</span>
边缘	邊緣	<span class="tone1">biān</span> <span class="tone2">yuán</span>	<ol><li>edge; fringe; verge; brink; periphery</li><li>marginal; borderline</li></ol>			
编制	編制	<span class="tone1">biān</span> <span class="tone4">zhì</span>	<ol><li>to establish (a unit or department)</li><li>staffing structure (excluding temporary and casual staff)</li></ol>			
编制	編製	<span class="tone1">biān</span> <span class="tone4">zhì</span>	<ol><li>to weave</li><li>to plait</li><li>to compile</li><li>to put together (a lesson plan, budget etc)</li></ol>			
扁		<span class="tone3">biǎn</span>	<ol><li>flat</li><li>(coll.) to beat (sb) up</li><li>old variant of 匾</li></ol>			
扁		<span class="tone1">Piān</span>	<ol><li>surname Pian</li></ol>			
扁		<span class="tone1">piān</span>	<ol><li>small boat</li></ol>			<span class="nobr">片</span> <span class="nobr">篇</span>
变更	變更	<span class="tone4">biàn</span> <span class="tone1">gēng</span>	<ol><li>to change</li><li>to alter</li><li>to modify</li></ol>			
变换	變換	<span class="tone4">biàn</span> <span class="tone4">huàn</span>	<ol><li>to transform</li><li>to convert</li><li>to vary</li><li>to alternate</li><li>a transformation</li></ol>			
变形	變形	<span class="tone4">biàn</span> <span class="tone2">xíng</span>	<ol><li>to become deformed; to change shape; to morph</li></ol>			
便		<span class="tone4">biàn</span>	<ol><li>plain</li><li>informal</li><li>suitable</li><li>convenient</li><li>opportune</li><li>to urinate or defecate</li><li>equivalent to 就: then</li><li>in that case</li><li>even if</li><li>soon afterwards</li></ol>			<span class="nobr">变</span> <span class="nobr">遍</span>
便		<span class="tone2">pián</span>	<ol><li>used in 便宜</li><li>used in 便便</li><li>used in 便嬛</li></ol>			
便是		<span class="tone4">biàn</span> <span class="tone4">shì</span>	<ol><li>(emphasizes that sth is precisely or exactly as stated)</li><li>precisely</li><li>exactly</li><li>even</li><li>if</li><li>just like</li><li>in the same way as</li></ol>			
遍地		<span class="tone4">biàn</span> <span class="tone4">dì</span>	<ol><li>everywhere</li><li>all over</li></ol>			
表面上		<span class="tone3">biǎo</span> <span class="tone4">miàn</span> <span class="tone5">shang</span>	<ol><li>outwardly; superficially; on the face of it</li></ol>			
病房		<span class="tone4">bìng</span> <span class="tone2">fáng</span>	<ol><li>ward (of a hospital)</li><li>sickroom</li></ol>	间|間(<span class="tone1">jiān</span>)		
病情		<span class="tone4">bìng</span> <span class="tone2">qíng</span>	<ol><li>state of an illness</li><li>patient's condition</li></ol>			
拨打	撥打	<span class="tone1">bō</span> <span class="tone3">dǎ</span>	<ol><li>to call</li><li>to dial</li></ol>			
波动	波動	<span class="tone1">bō</span> <span class="tone4">dòng</span>	<ol><li>to undulate</li><li>to fluctuate</li><li>wave motion</li><li>rise and fall</li></ol>			
波浪		<span class="tone1">bō</span> <span class="tone4">làng</span>	<ol><li>wave</li></ol>			
播		<span class="tone1">bō</span>	<ol><li>to sow</li><li>to scatter</li><li>to spread</li><li>to broadcast</li></ol>		<span class="tone4">bò</span>	
不便		<span class="tone4">bù</span> <span class="tone4">biàn</span>	<ol><li>inconvenient</li><li>inappropriate</li><li>unsuitable</li><li>short of cash</li></ol>			
不见	不見	<span class="tone4">bù</span> <span class="tone4">jiàn</span>	<ol><li>not to see</li><li>not to meet</li><li>to have disappeared</li><li>to be missing</li></ol>			
不料		<span class="tone4">bù</span> <span class="tone4">liào</span>	<ol><li>unexpectedly</li><li>to one's surprise</li></ol>			
不再		<span class="tone4">bùzài</span>	<ol><li>no more; no longer</li></ol>			
不至于	不至於	<span class="tone4">bù</span> <span class="tone4">zhì</span> <span class="tone2">yú</span>	<ol><li>unlikely to go so far as to; not as bad as</li></ol>			
补考	補考	<span class="tone3">bǔ</span> <span class="tone3">kǎo</span>	<ol><li>to sit for a makeup exam</li><li>to resit an exam</li><li>makeup exam</li><li>resit</li></ol>			
补课	補課	<span class="tone3">bǔ</span> <span class="tone4">kè</span>	<ol><li>to make up missed lesson</li><li>to reschedule a class</li></ol>			
补习	補習	<span class="tone3">bǔ</span> <span class="tone2">xí</span>	<ol><li>to take extra lessons in a cram school or with a private tutor</li></ol>			
补助	補助	<span class="tone3">bǔ</span> <span class="tone4">zhù</span>	<ol><li>to subsidize</li><li>subsidy</li><li>allowance</li></ol>			
捕		<span class="tone3">bǔ</span>	<ol><li>to catch; to seize; to capture</li></ol>			<span class="nobr">补</span>
不成		<span class="tone4">bù</span> <span class="tone2">chéng</span>	<ol><li>won't do</li><li>unable to</li><li>(at the end of a rhetorical question) can that be?</li></ol>			
不禁		<span class="tone4">bù</span> <span class="tone1">jīn</span>	<ol><li>can't help (doing sth)</li><li>can't refrain from</li></ol>			
不仅仅	不僅僅	<span class="tone4">bù</span> <span class="tone3">jǐn</span> <span class="tone3">jǐn</span>	<ol><li>not only; not just</li></ol>			
不通		<span class="tone4">bù</span> <span class="tone1">tōng</span>	<ol><li>to be obstructed</li><li>to be blocked up</li><li>to be impassable</li><li>to make no sense</li><li>to be illogical</li></ol>			
不怎么	不怎麼	<span class="tone4">bù</span> <span class="tone3">zěn</span> <span class="tone5">me</span>	<ol><li>not very</li><li>not particularly</li></ol>			
不怎么样	不怎麼樣	<span class="tone4">bù</span> <span class="tone3">zěn</span> <span class="tone5">me</span> <span class="tone4">yàng</span>	<ol><li>not up to much</li><li>very indifferent</li><li>nothing great about it</li><li>nothing good to be said about it</li></ol>			
不值		<span class="tone4">bù</span> <span class="tone2">zhí</span>	<ol><li>not worth</li></ol>			
布满	布滿	<span class="tone4">bù</span> <span class="tone3">mǎn</span>	<ol><li>to be covered with</li><li>to be filled with</li></ol>			<span class="nobr">不满</span>
