#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
爱心	愛心	<span class="tone4">ài</span> <span class="tone1">xīn</span>	<ol><li>compassion</li><li>kindness</li><li>care for others</li><li>love</li><li>charity (bazaar, golf day etc)</li><li>heart (the symbol ♥)</li></ol>	片(<span class="tone4">piàn</span>)		
安排		<span class="tone1">ān</span> <span class="tone2">pái</span>	<ol><li>to arrange</li><li>to plan</li><li>to set up</li><li>arrangements</li><li>plans</li></ol>			
安装	安裝	<span class="tone1">ān</span> <span class="tone1">zhuāng</span>	<ol><li>to install</li><li>to erect</li><li>to fix</li><li>to mount</li><li>installation</li></ol>			
按		<span class="tone4">àn</span>	<ol><li>to press</li><li>to push</li><li>to leave aside or shelve</li><li>to control</li><li>to restrain</li><li>to keep one's hand on</li><li>to check or refer to</li><li>according to</li><li>in the light of</li><li>(of an editor or author) to make a comment</li></ol>			
按照		<span class="tone4">àn</span> <span class="tone4">zhào</span>	<ol><li>according to</li><li>in accordance with</li><li>in the light of</li><li>on the basis of</li></ol>			
把		<span class="tone3">bǎ</span>	<ol><li>to hold; to grasp</li><li>to hold a baby in position to help it urinate or defecate</li><li>handlebar</li><li>classifier: handful, bundle, bunch</li><li>classifier for things with handles</li><li>(used to put the object before the verb: 把 + {noun} + {verb})</li></ol>			
把		<span class="tone4">bà</span>	<ol><li>handle</li></ol>			<span class="nobr">爸</span>
把握		<span class="tone3">bǎ</span> <span class="tone4">wò</span>	<ol><li>to grasp (also fig.)</li><li>to seize</li><li>to hold</li><li>assurance</li><li>certainty</li><li>sure (of the outcome)</li></ol>			
白菜		<span class="tone2">bái</span> <span class="tone4">cài</span>	<ol><li>Chinese cabbage</li><li>pak choi</li></ol>	棵(<span class="tone1">kē</span>), 个|個(<span class="tone4">gè</span>)		
班级	班級	<span class="tone1">bān</span> <span class="tone2">jí</span>	<ol><li>class (group of students)</li><li>grade (in school)</li></ol>			
搬		<span class="tone1">bān</span>	<ol><li>to move (i.e. relocate oneself)</li><li>to move (sth relatively heavy or bulky)</li><li>to shift</li><li>to copy indiscriminately</li></ol>			<span class="nobr">班</span>
搬家		<span class="tone1">bān</span> <span class="tone1">jiā</span>	<ol><li>to move house; to relocate</li><li>to remove (sth)</li></ol>			
板		<span class="tone3">bǎn</span>	<ol><li>board</li><li>plank</li><li>plate</li><li>shutter</li><li>table tennis bat</li><li>clappers (music)</li><li>accented beat in Chinese music</li><li>hard</li><li>stiff</li><li>to stop smiling or look serious</li></ol>	块|塊(<span class="tone4">kuài</span>)		
板	闆	<span class="tone3">bǎn</span>	<ol><li>see 老闆｜老板, boss</li></ol>			
板	闆	<span class="tone4">pàn</span>	<ol><li>to catch sight of in a doorway (old)</li></ol>			
办理	辦理	<span class="tone4">bàn</span> <span class="tone3">lǐ</span>	<ol><li>to handle; to transact; to conduct</li></ol>			
保		<span class="tone3">bǎo</span>	<ol><li>to defend; to protect; to keep</li><li>to guarantee; to ensure</li><li>(old) civil administration unit in the baojia 保甲 system</li></ol>			<span class="nobr">饱</span>
保		<span class="tone3">Bǎo</span>	<ol><li>Bulgaria (abbr. for 保加利亞｜保加利亚)</li></ol>			
保安		<span class="tone3">bǎo</span> <span class="tone1">ān</span>	<ol><li>to ensure public security</li><li>to ensure safety (for workers engaged in production)</li><li>public security</li><li>security guard</li></ol>			
保持		<span class="tone3">bǎo</span> <span class="tone2">chí</span>	<ol><li>to keep</li><li>to maintain</li><li>to hold</li><li>to preserve</li></ol>			
保存		<span class="tone3">bǎo</span> <span class="tone2">cún</span>	<ol><li>to conserve</li><li>to preserve</li><li>to keep</li><li>to save (a file etc) (computing)</li></ol>			
保护	保護	<span class="tone3">bǎo</span> <span class="tone4">hù</span>	<ol><li>to protect</li><li>to defend</li><li>to safeguard</li><li>protection</li></ol>	种|種(<span class="tone3">zhǒng</span>)		
保留		<span class="tone3">bǎo</span> <span class="tone2">liú</span>	<ol><li>to keep</li><li>to retain</li><li>to have reservations (about sth)</li><li>to hold back (from saying sth)</li><li>to put aside for later</li></ol>			
保险	保險	<span class="tone3">bǎo</span> <span class="tone3">xiǎn</span>	<ol><li>insurance</li><li>to insure</li><li>safe</li><li>secure</li><li>be sure</li><li>be bound to</li></ol>	份(<span class="tone4">fèn</span>)		
保证	保證	<span class="tone3">bǎo</span> <span class="tone4">zhèng</span>	<ol><li>guarantee</li><li>to guarantee</li><li>to ensure</li><li>to safeguard</li><li>to pledge</li></ol>	个|個(<span class="tone4">gè</span>)		
报	報	<span class="tone4">bào</span>	<ol><li>to announce</li><li>to inform</li><li>report</li><li>newspaper</li><li>recompense</li><li>revenge</li></ol>	份(<span class="tone4">fèn</span>), 张|張(<span class="tone1">zhāng</span>)		
报到	報到	<span class="tone4">bào</span> <span class="tone4">dào</span>	<ol><li>to report for duty</li><li>to check in</li><li>to register</li></ol>			
