#Simplified	Traditional	Pinyin	English	Classifier	Taiwan Pinyin	Words With Same Pinyin
啊		<span class="tone1">ā</span>	<ol><li>interjection of surprise</li><li>Ah!</li><li>Oh!</li></ol>			
啊		<span class="tone2">á</span>	<ol><li>interjection expressing doubt or requiring answer</li><li>Eh?</li><li>what?</li></ol>			
啊		<span class="tone3">ǎ</span>	<ol><li>interjection of surprise or doubt</li><li>Eh?</li><li>My!</li><li>what's up?</li></ol>			
啊		<span class="tone4">à</span>	<ol><li>interjection or grunt of agreement</li><li>uhm</li><li>Ah, OK</li><li>expression of recognition</li><li>Oh, it's you!</li></ol>			
啊		<span class="tone5">a</span>	<ol><li>modal particle ending sentence, showing affirmation, approval, or consent</li></ol>			
爱情	愛情	<span class="tone4">ài</span> <span class="tone2">qíng</span>	<ol><li>romance; love (romantic)</li></ol>	份(<span class="tone4">fèn</span>)		
爱人	愛人	<span class="tone4">ài</span> <span class="tone5">ren</span>	<ol><li>spouse (PRC)</li><li>lover (non-PRC)</li></ol>	个|個(<span class="tone4">gè</span>)		
安静	安靜	<span class="tone1">ān</span> <span class="tone4">jìng</span>	<ol><li>quiet</li><li>peaceful</li><li>calm</li></ol>			
安全		<span class="tone1">ān</span> <span class="tone2">quán</span>	<ol><li>safe; secure</li><li>safety; security</li></ol>			
白色		<span class="tone2">bái</span> <span class="tone4">sè</span>	<ol><li>white</li><li>fig. reactionary</li><li>anti-communist</li></ol>			
班长	班長	<span class="tone1">bān</span> <span class="tone3">zhǎng</span>	<ol><li>class monitor</li><li>squad leader</li><li>team leader</li></ol>	个|個(<span class="tone4">gè</span>)		
办	辦	<span class="tone4">bàn</span>	<ol><li>to do</li><li>to manage</li><li>to handle</li><li>to go about</li><li>to run</li><li>to set up</li><li>to deal with</li></ol>			<span class="nobr">半</span>
办法	辦法	<span class="tone4">bàn</span> <span class="tone3">fǎ</span>	<ol><li>means</li><li>method</li><li>way (of doing sth)</li></ol>	条|條(<span class="tone2">tiáo</span>), 个|個(<span class="tone4">gè</span>)		
办公室	辦公室	<span class="tone4">bàn</span> <span class="tone1">gōng</span> <span class="tone4">shì</span>	<ol><li>office</li><li>business premises</li><li>bureau</li></ol>	间|間(<span class="tone1">jiān</span>)		
半夜		<span class="tone4">bàn</span> <span class="tone4">yè</span>	<ol><li>midnight</li><li>in the middle of the night</li></ol>			
帮助	幫助	<span class="tone1">bāng</span> <span class="tone4">zhù</span>	<ol><li>assistance; aid</li><li>to help; to assist</li></ol>			
饱	飽	<span class="tone3">bǎo</span>	<ol><li>to eat till full</li><li>satisfied</li></ol>			
报名	報名	<span class="tone4">bào</span> <span class="tone2">míng</span>	<ol><li>to sign up</li><li>to enter one's name</li><li>to apply</li><li>to register</li><li>to enroll</li><li>to enlist</li></ol>			
报纸	報紙	<span class="tone4">bào</span> <span class="tone3">zhǐ</span>	<ol><li>newspaper</li><li>newsprint</li></ol>	份(<span class="tone4">fèn</span>), 期(<span class="tone1">qī</span>), 张|張(<span class="tone1">zhāng</span>)		
北方		<span class="tone3">běi</span> <span class="tone1">fāng</span>	<ol><li>north</li><li>the northern part a country</li><li>China north of the Yellow River</li></ol>			
背		<span class="tone4">bèi</span>	<ol><li>the back of a body or object</li><li>to turn one's back</li><li>to hide something from</li><li>to learn by heart</li><li>to recite from memory</li><li>unlucky (slang)</li><li>hard of hearing</li></ol>			
背		<span class="tone1">bēi</span>	<ol><li>to be burdened</li><li>to carry on the back or shoulder</li></ol>			<span class="nobr">杯</span>
比如		<span class="tone3">bǐ</span> <span class="tone2">rú</span>	<ol><li>for example</li><li>for instance</li><li>such as</li></ol>			
比如说	比如說	<span class="tone3">bǐ</span> <span class="tone2">rú</span> <span class="tone1">shuō</span>	<ol><li>for example</li></ol>			
笔	筆	<span class="tone3">bǐ</span>	<ol><li>pen</li><li>pencil</li><li>writing brush</li><li>to write or compose</li><li>the strokes of Chinese characters</li><li>classifier for sums of money, deals</li></ol>	支(<span class="tone1">zhī</span>), 枝(<span class="tone1">zhī</span>)		<span class="nobr">比</span>
笔记	筆記	<span class="tone3">bǐ</span> <span class="tone4">jì</span>	<ol><li>to take down (in writing)</li><li>notes</li><li>a type of literature consisting mainly of short sketches</li></ol>	本(<span class="tone3">běn</span>)		
笔记本	筆記本	<span class="tone3">bǐ</span> <span class="tone4">jì</span> <span class="tone3">běn</span>	<ol><li>notebook (stationery)</li><li>notebook (computing)</li></ol>	本(<span class="tone3">běn</span>)		
必须	必須	<span class="tone4">bì</span> <span class="tone1">xū</span>	<ol><li>to have to</li><li>must</li><li>compulsory</li><li>necessarily</li></ol>			
边	邊	<span class="tone1">biān</span>	<ol><li>side</li><li>edge</li><li>margin</li><li>border</li><li>boundary</li><li>simultaneously</li></ol>	个|個(<span class="tone4">gè</span>)		
边	邊	<span class="tone5">bian</span>	<ol><li>suffix of a noun of locality</li></ol>			
变	變	<span class="tone4">biàn</span>	<ol><li>to change</li><li>to become different</li><li>to transform</li><li>to vary</li><li>rebellion</li></ol>			
变成	變成	<span class="tone4">biàn</span> <span class="tone2">chéng</span>	<ol><li>to change into</li><li>to turn into</li><li>to become</li></ol>			
遍		<span class="tone4">biàn</span>	<ol><li>everywhere</li><li>all over</li><li>classifier for actions: one time</li></ol>			<span class="nobr">变</span>
表		<span class="tone3">biǎo</span>	<ol><li>exterior surface</li><li>family relationship via females</li><li>to show (one's opinion)</li><li>a model</li><li>a table (listing information)</li><li>a form</li><li>a meter (measuring sth)</li></ol>			
表	錶	<span class="tone3">biǎo</span>	<ol><li>watch (timepiece)</li><li>meter; gauge</li></ol>			
表示		<span class="tone3">biǎo</span> <span class="tone4">shì</span>	<ol><li>(of sb) to express; to state; to show</li><li>(of sth) to indicate; to signify; to show</li><li>expression; manifestation</li></ol>			
不错	不錯	<span class="tone4">bù</span> <span class="tone4">cuò</span>	<ol><li>correct</li><li>right</li><li>not bad</li><li>pretty good</li></ol>			
不但		<span class="tone4">bù</span> <span class="tone4">dàn</span>	<ol><li>not only (... but also ...)</li></ol>			
不够	不夠	<span class="tone4">bù</span> <span class="tone4">gòu</span>	<ol><li>not enough</li><li>insufficient</li><li>inadequate</li></ol>			
不过	不過	<span class="tone4">bù</span> <span class="tone4">guò</span>	<ol><li>only</li><li>merely</li><li>no more than</li><li>but</li><li>however</li><li>anyway (to get back to a previous topic)</li><li>cannot be more (after adjectival)</li></ol>			
不要		<span class="tone4">bù</span> <span class="tone4">yào</span>	<ol><li>don't!; must not</li></ol>			
不好意思		<span class="tone4">bù</span> <span class="tone3">hǎo</span> <span class="tone4">yì</span> <span class="tone5">si</span>	<ol><li>to feel embarrassed</li><li>to find it embarrassing</li><li>to be sorry (for inconveniencing sb)</li></ol>			
不久		<span class="tone4">bù</span> <span class="tone3">jiǔ</span>	<ol><li>not long (after)</li><li>before too long</li><li>soon</li><li>soon after</li></ol>			
不满	不滿	<span class="tone4">bù</span> <span class="tone3">mǎn</span>	<ol><li>resentful</li><li>discontented</li><li>dissatisfied</li></ol>			
不如		<span class="tone4">bùrú</span>	<ol><li>not equal to; not as good as; inferior to</li><li>it would be better to</li></ol>			
不少		<span class="tone4">bù</span> <span class="tone3">shǎo</span>	<ol><li>many</li><li>a lot</li><li>not few</li></ol>			
不同		<span class="tone4">bù</span> <span class="tone2">tóng</span>	<ol><li>different</li><li>distinct</li><li>not the same</li><li>not alike</li></ol>			
不行		<span class="tone4">bù</span> <span class="tone2">xíng</span>	<ol><li>won't do</li><li>be out of the question</li><li>be no good</li><li>not work</li><li>not be capable</li></ol>			
不一定		<span class="tone4">bù</span> <span class="tone1">yī</span> <span class="tone4">dìng</span>	<ol><li>not necessarily</li><li>maybe</li></ol>			
部分		<span class="tone4">bù</span> <span class="tone5">fen</span>	<ol><li>part</li><li>share</li><li>section</li><li>piece</li></ol>	个|個(<span class="tone4">gè</span>)		
才		<span class="tone2">cái</span>	<ol><li>ability; talent</li><li>sb of a certain type</li><li>a capable individual</li><li>then and only then</li><li>just now</li><li>(before an expression of quantity) only</li></ol>			
才	纔	<span class="tone2">cái</span>	<ol><li>(variant of 才) just now</li><li>(variant of 才) (before an expression of quantity) only</li></ol>			
菜单	菜單	<span class="tone4">cài</span> <span class="tone1">dān</span>	<ol><li>menu</li></ol>	份(<span class="tone4">fèn</span>), 张|張(<span class="tone1">zhāng</span>)		
参观	參觀	<span class="tone1">cān</span> <span class="tone1">guān</span>	<ol><li>to look around</li><li>to tour</li><li>to visit</li></ol>			
参加	參加	<span class="tone1">cān</span> <span class="tone1">jiā</span>	<ol><li>to participate</li><li>to take part</li><li>to join</li></ol>			
草		<span class="tone3">cǎo</span>	<ol><li>grass</li><li>straw</li><li>manuscript</li><li>draft (of a document)</li><li>careless</li><li>rough</li></ol>	棵(<span class="tone1">kē</span>), 撮(<span class="tone3">zuǒ</span>), 株(<span class="tone1">zhū</span>), 根(<span class="tone1">gēn</span>)		
草地		<span class="tone3">cǎo</span> <span class="tone4">dì</span>	<ol><li>lawn</li><li>meadow</li><li>sod</li><li>turf</li></ol>	片(<span class="tone4">piàn</span>)		
层	層	<span class="tone2">céng</span>	<ol><li>to pile on top of one another</li><li>layer; stratum</li><li>floor (of a building); story</li><li>(math.) sheaf</li><li>classifier for layers</li></ol>			
查		<span class="tone2">chá</span>	<ol><li>to research</li><li>to check</li><li>to investigate</li><li>to examine</li><li>to refer to</li><li>to look up (e.g. a word in a dictionary)</li></ol>			<span class="nobr">茶</span>
查		<span class="tone1">Zhā</span>	<ol><li>surname Zha</li></ol>			
差不多		<span class="tone4">chà</span> <span class="tone5">bu</span> <span class="tone1">duō</span>	<ol><li>almost</li><li>nearly</li><li>more or less</li><li>about the same</li><li>good enough</li><li>not bad</li></ol>			
长	長	<span class="tone2">cháng</span>	<ol><li>length</li><li>long</li><li>forever</li><li>always</li><li>constantly</li></ol>			<span class="nobr">常</span>
长	長	<span class="tone3">zhǎng</span>	<ol><li>chief</li><li>head</li><li>elder</li><li>to grow</li><li>to develop</li><li>to increase</li><li>to enhance</li></ol>			
常见	常見	<span class="tone2">cháng</span> <span class="tone4">jiàn</span>	<ol><li>commonly seen</li><li>common</li><li>to see sth frequently</li></ol>			
常用		<span class="tone2">cháng</span> <span class="tone4">yòng</span>	<ol><li>in common usage</li></ol>			
场	場	<span class="tone3">chǎng</span>	<ol><li>large place used for a specific purpose</li><li>stage</li><li>scene (of a play)</li><li>classifier for sporting or recreational activities</li><li>classifier for number of exams</li></ol>			
场	場	<span class="tone2">cháng</span>	<ol><li>threshing floor</li><li>classifier for events and happenings: spell, episode, bout</li></ol>			<span class="nobr">常</span> <span class="nobr">长</span>
超过	超過	<span class="tone1">chāo</span> <span class="tone4">guò</span>	<ol><li>to surpass</li><li>to exceed</li><li>to outstrip</li></ol>			
超市		<span class="tone1">chāo</span> <span class="tone4">shì</span>	<ol><li>supermarket (abbr. for 超級市場｜超级市场)</li></ol>	家(<span class="tone1">jiā</span>)		
车辆	車輛	<span class="tone1">chē</span> <span class="tone4">liàng</span>	<ol><li>vehicle</li></ol>			
称	稱	<span class="tone1">chēng</span>	<ol><li>to weigh</li><li>to state</li><li>to name</li><li>name</li><li>appellation</li><li>to praise</li></ol>			
称	稱	<span class="tone4">chèn</span>	<ol><li>to fit; to match; to suit</li><li>(coll.) to have; to possess</li></ol>		<span class="tone4">chèng</span>	
称	稱	<span class="tone4">chèng</span>	<ol><li>steelyard</li></ol>			
成		<span class="tone2">chéng</span>	<ol><li>to succeed</li><li>to finish</li><li>to complete</li><li>to accomplish</li><li>to become</li><li>to turn into</li><li>to be all right</li><li>OK!</li><li>one tenth</li></ol>			
成		<span class="tone2">Chéng</span>	<ol><li>surname Cheng</li></ol>			
成绩	成績	<span class="tone2">chéng</span> <span class="tone4">jì</span>	<ol><li>achievement</li><li>performance records</li><li>grades</li></ol>	项|項(<span class="tone4">xiàng</span>), 个|個(<span class="tone4">gè</span>)		
成为	成為	<span class="tone2">chéng</span> <span class="tone2">wéi</span>	<ol><li>to become; to turn into</li></ol>			
